id,name,logo_url
1,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png
2,Juventus,https://cdn.sofifa.org/teams/2/light/45.png
3,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png
4,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png
5,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png
6,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png
7,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png
8,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png
9,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png
10,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png
11,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png
12,Napoli,https://cdn.sofifa.org/teams/2/light/48.png
13,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png
14,Milan,https://cdn.sofifa.org/teams/2/light/47.png
15,Inter,https://cdn.sofifa.org/teams/2/light/44.png
16,Lazio,https://cdn.sofifa.org/teams/2/light/46.png
17,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png
18,Vissel Kobe,https://cdn.sofifa.org/teams/2/light/101146.png
19,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png
20,Roma,https://cdn.sofifa.org/teams/2/light/52.png
21,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png
22,Guangzhou Evergrande Taobao FC,https://cdn.sofifa.org/teams/2/light/111839.png
23,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png
24,FC Schalke 04,https://cdn.sofifa.org/teams/2/light/34.png
25,Be?ikta? JK,https://cdn.sofifa.org/teams/2/light/327.png
26,LA Galaxy,https://cdn.sofifa.org/teams/2/light/697.png
27,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png
28,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png
29,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png
30,RC Celta,https://cdn.sofifa.org/teams/2/light/450.png
31,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png
32,Real Sociedad,https://cdn.sofifa.org/teams/2/light/457.png
33,Villarreal CF,https://cdn.sofifa.org/teams/2/light/483.png
34,Sevilla FC,https://cdn.sofifa.org/teams/2/light/481.png
35,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png
36,AS Saint-Étienne,https://cdn.sofifa.org/teams/2/light/1819.png
37,AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png
38,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png
39,Atalanta,https://cdn.sofifa.org/teams/2/light/39.png
40,Grêmio,https://cdn.sofifa.org/teams/2/light/1629.png
41,Atlético Mineiro,https://cdn.sofifa.org/teams/2/light/1035.png
42,RB Leipzig,https://cdn.sofifa.org/teams/2/light/112172.png
43,Ajax,https://cdn.sofifa.org/teams/2/light/245.png
44,Dalian YiFang FC,https://cdn.sofifa.org/teams/2/light/112378.png
45,Everton,https://cdn.sofifa.org/teams/2/light/7.png
46,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png
47,1. FC Köln,https://cdn.sofifa.org/teams/2/light/31.png
48,TSG 1899 Hoffenheim,https://cdn.sofifa.org/teams/2/light/10029.png
49,Shanghai SIPG FC,https://cdn.sofifa.org/teams/2/light/112540.png
50,OGC Nice,https://cdn.sofifa.org/teams/2/light/72.png
51,Al Nassr,https://cdn.sofifa.org/teams/2/light/112139.png
52,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png
53,Borussia Mönchengladbach,https://cdn.sofifa.org/teams/2/light/23.png
54,Hertha BSC,https://cdn.sofifa.org/teams/2/light/166.png
55,SV Werder Bremen,https://cdn.sofifa.org/teams/2/light/38.png
56,Cruzeiro,https://cdn.sofifa.org/teams/2/light/568.png
57,Athletic Club de Bilbao,https://cdn.sofifa.org/teams/2/light/448.png
58,Torino,https://cdn.sofifa.org/teams/2/light/54.png
59,Medipol Ba?ak?ehir FK,https://cdn.sofifa.org/teams/2/light/101014.png
60,Beijing Sinobo Guoan FC,https://cdn.sofifa.org/teams/2/light/111768.png
61,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png
62,PFC CSKA Moscow,https://cdn.sofifa.org/teams/2/light/315.png
63,VfL Wolfsburg,https://cdn.sofifa.org/teams/2/light/175.png
64,Shakhtar Donetsk,https://cdn.sofifa.org/teams/2/light/101059.png
65,Toronto FC,https://cdn.sofifa.org/teams/2/light/111651.png
66,Lokomotiv Moscow,https://cdn.sofifa.org/teams/2/light/100765.png
67,Sassuolo,https://cdn.sofifa.org/teams/2/light/111974.png
68,New York City FC,https://cdn.sofifa.org/teams/2/light/112828.png
69,Fluminense,https://cdn.sofifa.org/teams/2/light/567.png
70,PSV,https://cdn.sofifa.org/teams/2/light/247.png
71,Levante UD,https://cdn.sofifa.org/teams/2/light/1853.png
72,Fulham,https://cdn.sofifa.org/teams/2/light/144.png
73,Watford,https://cdn.sofifa.org/teams/2/light/1795.png
74,Atlanta United,https://cdn.sofifa.org/teams/2/light/112885.png
75,Montpellier HSC,https://cdn.sofifa.org/teams/2/light/70.png
76,Galatasaray SK,https://cdn.sofifa.org/teams/2/light/325.png
77,Fenerbahçe SK,https://cdn.sofifa.org/teams/2/light/326.png
78,SD Eibar,https://cdn.sofifa.org/teams/2/light/467.png
79,Los Angeles FC,https://cdn.sofifa.org/teams/2/light/112996.png
80,Sampdoria,https://cdn.sofifa.org/teams/2/light/1837.png
81,Al Hilal,https://cdn.sofifa.org/teams/2/light/605.png
82,VfB Stuttgart,https://cdn.sofifa.org/teams/2/light/36.png
83,SC Braga,https://cdn.sofifa.org/teams/2/light/1896.png
84,River Plate,https://cdn.sofifa.org/teams/2/light/1876.png
85,Deportivo Alavés,https://cdn.sofifa.org/teams/2/light/463.png
86,,https://cdn.sofifa.org/flags/52.png
87,Eintracht Frankfurt,https://cdn.sofifa.org/teams/2/light/1824.png
88,Girona FC,https://cdn.sofifa.org/teams/2/light/110062.png
89,Guangzhou R&F; FC,https://cdn.sofifa.org/teams/2/light/112429.png
90,Burnley,https://cdn.sofifa.org/teams/2/light/1796.png
91,Stoke City,https://cdn.sofifa.org/teams/2/light/1806.png
92,Southampton,https://cdn.sofifa.org/teams/2/light/17.png
93,Tianjin Quanjian FC,https://cdn.sofifa.org/teams/2/light/112983.png
94,Getafe CF,https://cdn.sofifa.org/teams/2/light/1860.png
95,Beijing Renhe FC,https://cdn.sofifa.org/teams/2/light/112537.png
96,Montreal Impact,https://cdn.sofifa.org/teams/2/light/111139.png
97,Chievo Verona,https://cdn.sofifa.org/teams/2/light/192.png
98,Genoa,https://cdn.sofifa.org/teams/2/light/110556.png
99,Portland Timbers,https://cdn.sofifa.org/teams/2/light/111140.png
100,Tigres U.A.N.L.,https://cdn.sofifa.org/flags/46.png
101,RCD Espanyol,https://cdn.sofifa.org/teams/2/light/1970.png
102,Hebei China Fortune FC,https://cdn.sofifa.org/teams/2/light/452.png
103,Cagliari,https://cdn.sofifa.org/teams/2/light/112978.png
104,Chicago Fire,https://cdn.sofifa.org/teams/2/light/1842.png
105,DC United,https://cdn.sofifa.org/teams/2/light/693.png
106,Sagan Tosu,https://cdn.sofifa.org/teams/2/light/688.png
107,Dynamo Kyiv,https://cdn.sofifa.org/teams/2/light/113160.png
108,Santos,https://cdn.sofifa.org/teams/2/light/101047.png
109,Internacional,https://cdn.sofifa.org/teams/2/light/1053.png
110,América FC (Minas Gerais),https://cdn.sofifa.org/teams/2/light/1048.png
111,Independiente,https://cdn.sofifa.org/teams/2/light/112001.png
112,Boca Juniors,https://cdn.sofifa.org/flags/40.png
113,Cruz Azul,https://cdn.sofifa.org/teams/2/light/110093.png
114,1. FSV Mainz 05,https://cdn.sofifa.org/teams/2/light/1877.png
115,Bournemouth,https://cdn.sofifa.org/teams/2/light/1878.png
116,Spartak Moscow,https://cdn.sofifa.org/teams/2/light/169.png
117,Racing Club,https://cdn.sofifa.org/teams/2/light/1943.png
118,FC Augsburg,https://cdn.sofifa.org/teams/2/light/100767.png
119,Fiorentina,https://cdn.sofifa.org/teams/2/light/101085.png
120,FC Nantes,https://cdn.sofifa.org/teams/2/light/100409.png
121,Feyenoord,https://cdn.sofifa.org/teams/2/light/110374.png
122,Club Brugge KV,https://cdn.sofifa.org/teams/2/light/71.png
123,Brighton & Hove Albion,https://cdn.sofifa.org/teams/2/light/246.png
124,Al Ahli,https://cdn.sofifa.org/teams/2/light/231.png
125,Jiangsu Suning FC,https://cdn.sofifa.org/teams/2/light/1808.png
126,SC Freiburg,https://cdn.sofifa.org/teams/2/light/112387.png
127,PAOK,https://cdn.sofifa.org/teams/2/light/112162.png
128,Stade Rennais FC,https://cdn.sofifa.org/teams/2/light/25.png
129,Trabzonspor,https://cdn.sofifa.org/teams/2/light/393.png
130,SPAL,https://cdn.sofifa.org/teams/2/light/74.png
131,Portimonense SC,https://cdn.sofifa.org/teams/2/light/436.png
132,Olympiacos CFP,https://cdn.sofifa.org/teams/2/light/112791.png
133,Club Atlético Huracán,https://cdn.sofifa.org/teams/2/light/10031.png
134,Kasimpa?a SK,https://cdn.sofifa.org/teams/2/light/280.png
135,Newcastle United,https://cdn.sofifa.org/teams/2/light/111711.png
136,Frosinone,https://cdn.sofifa.org/teams/2/light/111339.png
137,Querétaro,https://cdn.sofifa.org/teams/2/light/13.png
138,KRC Genk,https://cdn.sofifa.org/teams/2/light/111657.png
139,Hannover 96,https://cdn.sofifa.org/teams/2/light/110150.png
140,Stade Malherbe Caen,https://cdn.sofifa.org/teams/2/light/673.png
141,Godoy Cruz,https://cdn.sofifa.org/teams/2/light/485.png
142,Toulouse Football Club,https://cdn.sofifa.org/teams/2/light/210.png
143,RSC Anderlecht,https://cdn.sofifa.org/teams/2/light/111706.png
144,Huddersfield Town,https://cdn.sofifa.org/teams/2/light/1809.png
145,CD Tondela,https://cdn.sofifa.org/teams/2/light/229.png
146,Seattle Sounders FC,https://cdn.sofifa.org/teams/2/light/1939.png
147,Hamburger SV,https://cdn.sofifa.org/teams/2/light/112516.png
148,FC Red Bull Salzburg,https://cdn.sofifa.org/teams/2/light/111144.png
149,Rio Ave FC,https://cdn.sofifa.org/teams/2/light/28.png
150,FC Girondins de Bordeaux,https://cdn.sofifa.org/teams/2/light/191.png
151,Melbourne Victory,https://cdn.sofifa.org/teams/2/light/744.png
152,Parma,https://cdn.sofifa.org/teams/2/light/59.png
153,FC Basel 1893,https://cdn.sofifa.org/teams/2/light/111397.png
154,Al Wehda,https://cdn.sofifa.org/teams/2/light/50.png
155,BSC Young Boys,https://cdn.sofifa.org/teams/2/light/896.png
156,KAA Gent,https://cdn.sofifa.org/teams/2/light/112408.png
157,Al Ittihad,https://cdn.sofifa.org/teams/2/light/900.png
158,Standard de Liège,https://cdn.sofifa.org/teams/2/light/674.png
159,Shanghai Greenland Shenhua FC,https://cdn.sofifa.org/teams/2/light/607.png
160,Colo-Colo,https://cdn.sofifa.org/teams/2/light/232.png
161,Junior FC,https://cdn.sofifa.org/teams/2/light/110955.png
162,West Bromwich Albion,https://cdn.sofifa.org/teams/2/light/110980.png
163,RC Strasbourg Alsace,https://cdn.sofifa.org/flags/38.png
164,Göztepe SK,https://cdn.sofifa.org/teams/2/light/101101.png
165,Deportivo Cali,https://cdn.sofifa.org/teams/2/light/109.png
166,Deportivo Toluca,https://cdn.sofifa.org/teams/2/light/76.png
167,Bologna,https://cdn.sofifa.org/teams/2/light/101026.png
168,Nagoya Grampus,https://cdn.sofifa.org/teams/2/light/101102.png
169,Amiens SC,https://cdn.sofifa.org/teams/2/light/1882.png
170,Changchun Yatai FC,https://cdn.sofifa.org/teams/2/light/189.png
171,Club Atlético Lanús,https://cdn.sofifa.org/flags/108.png
172,Botafogo,https://cdn.sofifa.org/teams/2/light/112092.png
173,Club América,https://cdn.sofifa.org/teams/2/light/1816.png
174,Udinese,https://cdn.sofifa.org/teams/2/light/111769.png
175,Real Valladolid CF,https://cdn.sofifa.org/teams/2/light/110395.png
176,CD Leganés,https://cdn.sofifa.org/teams/2/light/517.png
177,Club Atlético Banfield,https://cdn.sofifa.org/teams/2/light/1879.png
178,Celtic,https://cdn.sofifa.org/teams/2/light/55.png
