id,fifa_id,name,age,photo_url,body_type_id,country_id,club_id,preferred_foot_id
1,158023,L. Messi,31,https://cdn.sofifa.org/players/4/19/158023.png,1,1,1,1
2,20801,Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,2,2,2,2
3,190871,Neymar Jr,26,https://cdn.sofifa.org/players/4/19/190871.png,3,3,3,2
4,193080,De Gea,27,https://cdn.sofifa.org/players/4/19/193080.png,4,4,4,2
5,192985,K. De Bruyne,27,https://cdn.sofifa.org/players/4/19/192985.png,5,5,5,2
6,183277,E. Hazard,27,https://cdn.sofifa.org/players/4/19/183277.png,5,5,6,2
7,177003,L. Modri?,32,https://cdn.sofifa.org/players/4/19/177003.png,4,6,7,2
8,176580,L. Suárez,31,https://cdn.sofifa.org/players/4/19/176580.png,5,7,1,2
9,155862,Sergio Ramos,32,https://cdn.sofifa.org/players/4/19/155862.png,5,4,7,2
10,200389,J. Oblak,25,https://cdn.sofifa.org/players/4/19/200389.png,5,8,8,2
11,188545,R. Lewandowski,29,https://cdn.sofifa.org/players/4/19/188545.png,5,9,9,2
12,182521,T. Kroos,28,https://cdn.sofifa.org/players/4/19/182521.png,5,10,7,2
13,182493,D. Godín,32,https://cdn.sofifa.org/players/4/19/182493.png,4,7,8,2
14,168542,David Silva,32,https://cdn.sofifa.org/players/4/19/168542.png,5,4,5,1
15,215914,N. Kanté,27,https://cdn.sofifa.org/players/4/19/215914.png,4,11,6,2
16,211110,P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,5,1,2,1
17,202126,H. Kane,24,https://cdn.sofifa.org/players/4/19/202126.png,5,12,10,2
18,194765,A. Griezmann,27,https://cdn.sofifa.org/players/4/19/194765.png,4,11,8,1
19,192448,M. ter Stegen,26,https://cdn.sofifa.org/players/4/19/192448.png,5,10,1,2
20,192119,T. Courtois,26,https://cdn.sofifa.org/players/4/19/192119.png,6,5,7,1
21,189511,Sergio Busquets,29,https://cdn.sofifa.org/players/4/19/189511.png,4,4,1,2
22,179813,E. Cavani,31,https://cdn.sofifa.org/players/4/19/179813.png,4,7,3,2
23,167495,M. Neuer,32,https://cdn.sofifa.org/players/4/19/167495.png,5,10,9,2
24,153079,S. Agüero,30,https://cdn.sofifa.org/players/4/19/153079.png,7,1,5,2
25,138956,G. Chiellini,33,https://cdn.sofifa.org/players/4/19/138956.png,5,13,2,1
26,231747,K. Mbappé,19,https://cdn.sofifa.org/players/4/19/231747.png,4,11,3,2
27,209331,M. Salah,26,https://cdn.sofifa.org/players/4/19/209331.png,8,14,11,1
28,200145,Casemiro,26,https://cdn.sofifa.org/players/4/19/200145.png,5,3,7,2
29,198710,J. Rodríguez,26,https://cdn.sofifa.org/players/4/19/198710.png,5,15,9,1
30,198219,L. Insigne,27,https://cdn.sofifa.org/players/4/19/198219.png,5,13,12,2
31,197781,Isco,26,https://cdn.sofifa.org/players/4/19/197781.png,5,4,7,2
32,190460,C. Eriksen,26,https://cdn.sofifa.org/players/4/19/190460.png,4,16,10,2
33,189242,Coutinho,26,https://cdn.sofifa.org/players/4/19/189242.png,5,3,1,2
34,188567,P. Aubameyang,29,https://cdn.sofifa.org/players/4/19/188567.png,4,17,13,2
35,178603,M. Hummels,29,https://cdn.sofifa.org/players/4/19/178603.png,5,10,9,2
36,176676,Marcelo,30,https://cdn.sofifa.org/players/4/19/176676.png,5,3,7,1
37,173731,G. Bale,28,https://cdn.sofifa.org/players/4/19/173731.png,4,18,7,1
38,167948,H. Lloris,31,https://cdn.sofifa.org/players/4/19/167948.png,4,11,10,1
39,167664,G. Higuaín,30,https://cdn.sofifa.org/players/4/19/167664.png,5,1,14,2
40,164240,Thiago Silva,33,https://cdn.sofifa.org/players/4/19/164240.png,5,3,3,2
41,162835,S. Handanovi?,33,https://cdn.sofifa.org/players/4/19/162835.png,5,8,15,2
